symbol,roe,sales_growth_3y,debt_to_equity,pe,market_cap
RELIANCE.NS,9.5,21.0,0.45,28,1700000000000
HDFCBANK.NS,17.0,15.5,,22,
ICICIBANK.NS,18.2,17.0,,18,
INFY.NS,31.5,12.0,0.10,26,
TCS.NS,46.0,10.0,0.05,30,
BHARTIARTL.NS,11.0,18.0,1.40,40,
LT.NS,14.0,16.0,1.20,32,
ASIANPAINT.NS,28.0,8.0,0.20,55,
MARUTI.NS,15.0,22.0,0.10,30,
BAJFINANCE.NS,22.0,28.0,3.50,32,
SUNPHARMA.NS,16.0,11.0,0.20,35,
TITAN.NS,30.0,25.0,0.80,75,
TATAMOTORS.NS,12.0,40.0,1.50,12,
WIPRO.NS,15.0,5.0,0.20,22,
HCLTECH.NS,23.0,12.0,0.08,25,
KOTAKBANK.NS,14.0,16.0,,20,
