symbol,market_cap
RELIANCE,Large
HDFCBANK,Large
ICICIBANK,Large
INFY,Large
TCS,Large
BHARTIARTL,Large
LT,Large
KOTAKBANK,Large
AXISBANK,Large
SBIN,Large
ITC,Large
HINDUNILVR,Large
ASIANPAINT,Large
MARUTI,Large
BAJFINANCE,Large
TATAMOTORS,Large
SUNPHARMA,Large
WIPRO,Large
HCLTECH,Large
TITAN,Large
ADANIGREEN,Large
ADANIPOWER,Large
ATGL,Mid
BEL,Large
BSE,Large
CDSL,Mid
COALINDIA,Large
HAL,Large
HINDZINC,Large
IRFC,Large
JIOFIN,Large
NTPC,Large
ONGC,Large
POWERGRID,Large
TATAPOWER,Large
TATASTEEL,Large
VEDL,Large
ANGELONE,Mid
BDL,Mid
COCHINSHIP,Mid
CONCOR,Mid
GAIL,Mid
HINDCOPPER,Mid
IEX,Small
INDHOTEL,Mid
IOC,Mid
IRB,Mid
IRCTC,Mid
IREDA,Mid
ITCHOTELS,Mid
KALYANKJIL,Mid
LTF,Mid
MAZDOCK,Mid
NATIONALUM,Mid
NHPC,Mid
NMDC,Mid
NTPCGREEN,Mid
PFC,Mid
RECLTD,Mid
RVNL,Mid
SAIL,Mid
SUZLON,Mid
SWIGGY,Large
TMCV,Mid
TMPV,Mid
VBL,Large
ATHERENERG,Small
EASEMYTRIP,Small
GRINFRA,Small
GRSE,Mid
INOXWIND,Small
IOB,Mid
IRCON,Small
KPIGREEN,Small
MICEL,Small
NCC,Mid
NLCINDIA,Mid
ORIENTCEM,Small
PNCINFRA,Small
TITAGARH,Small
GOLDIETF,ETF
SILVERBEES,ETF
MON100,ETF
MONQ50,ETF
