Stock Name,ISIN,Quantity,Average buy price,Buy value,Closing price,Closing value,Unrealised P&L
Reliance Industries,INE002A01018,12,2400.50,28806.00,2890.00,34680.00,5874.00
HDFC Bank,INE040A01034,18,1550.00,27900.00,1680.00,30240.00,2340.00
ICICI Bank,INE090A01021,25,920.00,23000.00,1085.00,27125.00,4125.00
Infosys,INE009A01021,20,1450.00,29000.00,1525.00,30500.00,1500.00
Tata Consultancy Services,INE467B01029,8,3300.00,26400.00,3920.00,31360.00,4960.00
Bharti Airtel,INE397D01024,30,820.00,24600.00,1380.00,41400.00,16800.00
Larsen & Toubro,INE018A01030,9,2400.00,21600.00,3520.00,31680.00,10080.00
Asian Paints,INE021A01026,11,2900.00,31900.00,2780.00,30580.00,-1320.00
Maruti Suzuki India,INE585B01010,2,9500.00,19000.00,12150.00,24300.00,5300.00
Bajaj Finance,INE296A01024,5,6800.00,34000.00,7250.00,36250.00,2250.00
Sun Pharmaceutical Industries,INE044A01036,18,1100.00,19800.00,1690.00,30420.00,10620.00
Titan Company,INE280A01028,7,2950.00,20650.00,3500.00,24500.00,3850.00
