name,symbol
Reliance Industries,RELIANCE.NS
HDFC Bank,HDFCBANK.NS
ICICI Bank,ICICIBANK.NS
Infosys,INFY.NS
Tata Consultancy Services,TCS.NS
Bharti Airtel,BHARTIARTL.NS
Larsen & Toubro,LT.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Axis Bank,AXISBANK.NS
State Bank of India,SBIN.NS
ITC,ITC.NS
Hindustan Unilever,HINDUNILVR.NS
Asian Paints,ASIANPAINT.NS
Maruti Suzuki India,MARUTI.NS
Bajaj Finance,BAJFINANCE.NS
Tata Motors,TATAMOTORS.NS
Sun Pharmaceutical Industries,SUNPHARMA.NS
Wipro,WIPRO.NS
HCL Technologies,HCLTECH.NS
Titan Company,TITAN.NS
